env_id,regime,method,seed,auc,final_score,wall_hours
walker-run,clean,adaptive_rhs,15,743.432,842.174,2.7378
walker-run,chaos,paper_horizon,15,444.385,594.096,2.7667
acrobot-swingup,clean,paper_horizon,1,473.933,646.824,1.3503
walker-run,chaos,adaptive_rhs,15,450.861,602.725,2.9603
acrobot-swingup,clean,adaptive_rhs,1,460.829,570.029,1.4469
acrobot-swingup,chaos,paper_horizon,1,326.033,377.04,1.7864
acrobot-swingup,chaos,adaptive_rhs,1,351.749,400.372,2.3403
walker-run,clean,paper_horizon,1,741.842,852.51,2.3181
walker-run,clean,adaptive_rhs,1,740.862,852.145,2.5125
walker-run,chaos,paper_horizon,1,456.856,596.752,2.7739
walker-run,chaos,adaptive_rhs,1,475.484,605.954,3.0825
acrobot-swingup,clean,paper_horizon,7,476.088,639.878,1.3289
acrobot-swingup,clean,adaptive_rhs,7,483.236,687.182,1.5058
acrobot-swingup,chaos,paper_horizon,7,307.714,409.676,1.7731
acrobot-swingup,chaos,adaptive_rhs,7,302.974,488.057,2.1744
walker-run,clean,paper_horizon,7,738.053,850.496,2.3225
walker-run,clean,adaptive_rhs,7,738.679,837.79,2.8006
walker-run,chaos,paper_horizon,7,458.86,580.549,2.7792
walker-run,chaos,adaptive_rhs,7,455.354,631.268,3.0344
cup-catch,clean,paper_horizon,23,882.523,981.95,2.0492
cup-catch,clean,adaptive_rhs,23,882.08,981.2,2.2967
cup-catch,chaos,paper_horizon,23,688.922,763.3,2.2808
cup-catch,chaos,adaptive_rhs,23,698.87,723.25,3.0139
pendulum-swingup,clean,paper_horizon,23,737.19,850.95,1.2169
pendulum-swingup,clean,adaptive_rhs,23,725.972,850.65,1.4489
pendulum-swingup,chaos,paper_horizon,23,30.3,12.95,1.6533
reacher-hard,clean,paper_horizon,23,848.79,967.7,1.2669
reacher-hard,clean,adaptive_rhs,23,850.865,968.75,1.3589
pendulum-swingup,chaos,adaptive_rhs,23,14.3225,12.2,2.3039
reacher-hard,chaos,paper_horizon,23,5.41,0.15,3.1722
cup-catch,chaos,paper_horizon,23,688.922,763.3,2.4464
cup-catch,chaos,adaptive_rhs,23,698.87,723.25,2.5031
reacher-hard,chaos,adaptive_rhs,23,5.2525,0.1,3.4231
cup-catch,clean,paper_horizon,31,878.867,975.35,2.0236
cup-catch,clean,adaptive_rhs,31,879.005,975.75,2.6128
cup-catch,chaos,paper_horizon,31,709.787,774.85,2.3917
pendulum-swingup,clean,paper_horizon,31,0,0,1.2128
cup-catch,chaos,adaptive_rhs,31,691.143,779.1,2.5292
pendulum-swingup,clean,adaptive_rhs,31,715.258,837.5,1.3056
pendulum-swingup,chaos,paper_horizon,31,24.8675,8.1,1.6633
pendulum-swingup,chaos,adaptive_rhs,31,38.1325,13.7,2.0869
reacher-hard,clean,paper_horizon,31,831.448,922.45,1.2489
reacher-hard,clean,adaptive_rhs,31,851.367,974.8,1.4636
cup-catch,clean,paper_horizon,42,887.53,990.5,2.0217
reacher-hard,chaos,paper_horizon,31,0.17,0.1,3.1433
reacher-hard,chaos,adaptive_rhs,31,0.17,0.1,3.7464
cup-catch,clean,adaptive_rhs,42,885.515,989.85,2.3803
cup-catch,chaos,paper_horizon,42,717.307,865,2.3800
pendulum-swingup,clean,paper_horizon,42,759.298,860.65,1.1828
cup-catch,chaos,adaptive_rhs,42,712.565,711.6,3.0092
pendulum-swingup,clean,adaptive_rhs,42,757.24,852.3,1.4914
pendulum-swingup,chaos,paper_horizon,42,68.7075,50.7,1.5942
pendulum-swingup,chaos,adaptive_rhs,42,24.57,18.35,2.1514
reacher-hard,clean,paper_horizon,42,860.688,972.35,1.2481
reacher-hard,clean,adaptive_rhs,42,861.293,922.7,1.3439
reacher-hard,chaos,paper_horizon,42,2.44,0,3.1417
reacher-hard,chaos,adaptive_rhs,42,2.465,0,3.7500
cup-catch,clean,paper_horizon,15,885.237,984.75,2.0297
cup-catch,clean,adaptive_rhs,15,885.11,984.55,2.4914
cup-catch,chaos,paper_horizon,15,709.83,842.1,2.4228
cup-catch,chaos,adaptive_rhs,15,738.805,831.9,2.5389
pendulum-swingup,clean,paper_horizon,15,739.977,855.15,1.2369
pendulum-swingup,clean,adaptive_rhs,15,734.737,854.9,1.5481
reacher-hard,clean,paper_horizon,15,836.49,854.3,1.2472
pendulum-swingup,chaos,paper_horizon,15,33.74,43.5,1.6392
pendulum-swingup,chaos,adaptive_rhs,15,31.67,14.85,1.8208
