env_id,regime,method,seed,paper_horizon,final_step,final_score,best_score,job_id,wall_hours,checkpoint_ok,run_dir
fish-swim,chaos,adaptive_rhs,1,3,500000,,,2062,1.8769,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/fish-swim/chaos/adaptive_rhs/s1
cartpole-swingup,clean,paper_horizon,1,3,500000,882.118,882.315,2064,1.3750,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cartpole-swingup/clean/paper_horizon/s1
cartpole-swingup,clean,adaptive_rhs,1,3,500000,864.924,867.651,2065,1.9489,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cartpole-swingup/clean/adaptive_rhs/s1
cartpole-swingup,chaos,paper_horizon,1,3,500000,814.092,857.027,2066,1.7642,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cartpole-swingup/chaos/paper_horizon/s1
cartpole-swingup,chaos,adaptive_rhs,1,3,500000,816.386,860.476,2068,2.0417,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cartpole-swingup/chaos/adaptive_rhs/s1
quadruped-run,clean,paper_horizon,7,3,500000,879.293,879.293,2072,1.9550,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/quadruped-run/clean/paper_horizon/s7
quadruped-run,clean,adaptive_rhs,7,3,500000,839.896,839.896,2073,2.0992,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/quadruped-run/clean/adaptive_rhs/s7
quadruped-run,chaos,paper_horizon,7,3,500000,807.768,807.768,2074,2.4144,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/quadruped-run/chaos/paper_horizon/s7
cheetah-run,clean,paper_horizon,7,3,500000,943.961,943.961,2076,1.5033,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cheetah-run/clean/paper_horizon/s7
cheetah-run,clean,adaptive_rhs,7,3,500000,942.65,946.169,2077,1.6353,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/cheetah-run/clean/adaptive_rhs/s7
quadruped-run,chaos,adaptive_rhs,7,3,500000,722.116,722.116,2075,2.5597,True,/home/goncalo/git/horizonsearch/tdmpc2-jax-codex/outputs/corl_pub_500k_v2/quadruped-run/chaos/adaptive_rhs/s7
